id,refresh_rate,technology,resolution,size,brightness,ram,storage,features,capacity,fast_charge,wireless_charge,chipset,material,weight,dimensions,sim,gps,bluetooth,jack,wifi,nfc,sensors,waterproof,name,version,speaker,productID,product_name
531,60Hz,"Hỗ trợ một tỷ màu
Độ sáng 500 nit
Dải màu rộng (P3)
Công nghệ True Tone",2880x1864,15.3 inch,,8GB,256GB SSD,  Force Touch trackpad,66.5 Wh,Bộ Tiếp Hợp Nguồn Cổng USB-C Kép 35W,False,Apple - M3,Kim loại,1.51kg,"Cao: 1,15 cm
Rộng: 34,04 cm
Dài: 23,76 cm",,,"Wi-Fi 6E
Bluetooth v5.3",True,"Wi-Fi 6E
Bluetooth v5.3",,Không,,macOS,macOS,"Hệ thống âm thanh sáu loa với loa trầm khử lực
Hỗ trợ Âm Thanh Không Gian khi phát nhạc hoặc video với Dolby Atmos trên loa tích hợp
Âm Thanh Không Gian với khả năng theo dõi chuyển động đầu chủ động khi sử dụng AirPods (thế hệ thứ 3), AirPods Pro và AirPods Max
Ba micrô phối hợp với tính năng điều hướng chùm sóng
Chế độ micrô Tách Giọng Nói và Âm Phổ Rộng
Tăng cường độ trong cho giọng nói trong các cuộc gọi thoại và video
Jack cắm tai nghe 3,5 mm có hỗ trợ nâng cao cho tai nghe trở kháng cao",531,MacBook Air M3 15.3 inch 8CPU 10GPU 8GB/256GB - Chính hãng Apple Việt Nam
532,60Hz,"Hỗ trợ một tỷ màu
Độ sáng 500 nit
Dải màu rộng (P3)
Công nghệ True Tone",2560x1664,13.6 inch,,16GB,256GB SSD, Magic Keyboard ,52.6 Wh,Bộ Tiếp Hợp Nguồn Cổng USB-C Kép 35W,False,Apple - M3,Kim loại,1.24kg,"Cao: 1,13 cm
Rộng: 30,41 cm
Dài: 21,5 cm",,,"Wi-Fi 6E
Bluetooth v5.3",True,"Wi-Fi 6E
Bluetooth v5.3",,Không,,macOS,macOS,"Hệ thống âm thanh bốn loa
Hỗ trợ Âm Thanh Không Gian khi phát nhạc hoặc video với Dolby Atmos trên loa tích hợp
Âm Thanh Không Gian với tính năng theo dõi chuyển động đầu chủ động khi sử dụng AirPods (thế hệ thứ 3), AirPods Pro và AirPods Max
Ba micrô phối hợp với tính năng điều hướng chùm sóng
Chế độ micrô Tách Giọng Nói và Âm Phổ Rộng (M3)
Tăng cường độ trong cho giọng nói trong các cuộc gọi thoại và video (M3)
Jack cắm tai nghe 3,5 mm có hỗ trợ nâng cao cho tai nghe trở kháng cao",532,MacBook Air M3 13.6 inch 8CPU 8GPU 16GB/256GB - Chính hãng Apple Việt Nam
533,60Hz,,2560x1644,13.6 inch,,16GB,256GB SSD,  Force Touch trackpad,,,False,Apple - M2,,1.24 kg,,,,,,,,,,,,,533,MacBook Air M2 13.6 inch 8CPU 8GPU 16GB/256GB - Chính hãng Apple Việt Nam
534,60Hz,,1920x1080,15.6 inch,,8GB,512GB SSD,  Multi-touch touchpad,3 cell / 39.3 Whr,65 W,False,i5 - 1335U,,1.7 kg,359 x 241 x 19.9 mm,,,"Bluetooth v5.2
Wi-Fi 6 AX201",False,"Bluetooth v5.2
Wi-Fi 6 AX201",,,,Windows 11 Home,Windows 11 Home,2 loa 2W,534,"Laptop MSI Modern 15 B13M-438VN (i5-1335U/8GB/512GB/15.6""FHD/Win11) - Chính hãng"
535,60Hz,"45% NTSC, Thin Bezel, 65% sRGB",1920x1080,14 inch,,8GB,512GB SSD,  Multi-touch touchpad,"3 cell, 39Whr",,False,R7 - 7730U,Nhựa,1.4kg,319.9 x 223 x 19.35 mm,,,"Wi-Fi 6
Bluetooth v5.2",False,"Wi-Fi 6
Bluetooth v5.2",,,,Windows 11 Home,Windows 11 Home,2x 2W Speaker,535,"Laptop MSI Modern 14 C7M- 221VN (R7-7730U/8GB/512GB/14"" FHD/Windows 11) - Chính hãng"
536,144Hz,"IPS-Level, 45% NTSC",1920x1080,15.6 inch,,8GB,512GB SSD,  Multi-touch touchpad,3 cell / 53.5 Whr,,False,i7 - 12650H,Vỏ nhựa - nắp lưng bằng kim loại,1.98kg,359.36 x 250.34 x 21.95~22.9 mm,,,"Wi-Fi 6
Bluetooth v5.2",False,"Wi-Fi 6
Bluetooth v5.2",,,,Windows 11 Home,Windows 11 Home,2 loa 2W,536,"Laptop Gaming MSI Cyborg 15 A12VF-267VN (i7-12650H/8GB/512GB/RTX 4060/15.6"" FHD 144Hz/Windows 11) - Chính hãng"
537,144Hz,Độ phủ màu 45% NTSC,1920x1080,15.6 inch,,16GB,1TB SSD, Chiclet Keyboard ,53.5 Whrs,200W,False,i7 - 13620H,Vỏ nhựa,2.25kg,359 x 259 x 24.9 mm,,,"Wi-Fi 6
Bluetooth v5.2",False,"Wi-Fi 6
Bluetooth v5.2",,,,Windows 11 Home,Windows 11 Home,"2 loa 2W
Nahimic 3 Audio Enhancer
Hi-Res Audio Ready",537,"Laptop MSI Katana 15 B13VFK-676VN (i7-13620H/16GB/1TB/RTX 4060/15.6"" FHD 144Hz/Windows 11/Ba lô) - Chính hãng"
538,60Hz,IPS 45% NTSC,1920x1080,15.6 inch,,8GB,512GB SSD,  Multi-touch touchpad,39.3 Wh,,False,i5 - 1235U,Nhựa,1.7kg,359 x 241 x 19.9 mm (Dài x Rộng x Dày),,,"Wi-Fi 6
Bluetooth v5.2",False,"Wi-Fi 6
Bluetooth v5.2",,,,Windows 11,Windows 11,2 loa 2W,538,"Laptop MSI Modern 15 B12MO-625VN - (i5-1235U/8GB/512GB/15.6"" FHD/Windows 11) - Chính hãng"
539,60Hz,,1920x1080,14 inch,,16GB,512GB SSD, Bàn phím tiêu chuẩn ,3 cell / 39.3 Whr,65W,False,i5 -1335U,,1.4 kg,319.9 x 223 x 19.35 mm,,,"Wi-Fi 6
Bluetooth v5.2",False,"Wi-Fi 6
Bluetooth v5.2",,,,Windows 11 Home,Windows 11 Home,2 loa 2W,539,"Laptop MSI Modern 14 C13M-608VN (i5-1335U/16GB/512GB/14"" FHD/Win 11) - Chính hãng"
540,144Hz,"100% sRGB
16:10",1920x1200,14 inch,,16GB,512GB SSD,  Multi-touch touchpad,53.5 Wh,120 W,False,i7 - 13620H,Hợp chất nhựa,1.6 kg,314.7 x 233.5 x 18.6-22.3 mm,,,"Wifi 6E
Bluetooth 5.2",False,"Wifi 6E
Bluetooth 5.2",,,,Windows 11 Home Single Language,Windows 11 Home Single Language,Nahimic Audio,540,"Laptop MSI Gaming Cyborg 14 A13UDX-099VN (i7-13620H/16GB/512GB/RTX3050/14"" FHD/RTX3050/Win 11/Balo)"
541,60Hz,"Viền mỏng 5.7mm, độ phủ màu 45% NTSC",1920x1080,15.6 inch,,8GB,512GB SSD,  Multi-touch touchpad,"3 cell, 52Whr",,False,i5 - 1135G7,Vỏ nhôm nguyên khối,1.6 kg,356.8 x 233.75 x 16.9 mm,,,"Wi-Fi 6
Bluetooth v5.1",False,"Wi-Fi 6
Bluetooth v5.1",,Không,,Windows 10 Home,Windows 10 Home,"2 loa 2W, hỗ trợ Nahimic 3 Audio",541,"Laptop MSI Modern 15 A11M-099VN (i5-1135G7/8GB/512GB/15.6""FHD/Win 10/Đen) - Chính hãng"
542,60Hz,"300 nits
16:09
45% NTSC",1920×1080,14 inch,,16 GB,512GB SSD,  Multi-touch touchpad,3 Cell,65 W,False,i5 - 1235U,Nhựa,1.4 kg,319.9 * 223 * 19.35 mm,,,"Bluetooth v5.2
Wifi 6",False,"Bluetooth v5.2
Wifi 6",,,,Windows 11 Home,Windows 11 Home,,542,Laptop MSI Modern 14 C12MO-660VN (I5-1235U/16GB/512GB/14.0 FHD/WIN11/Đen) - Chính hãng
543,60Hz,"45% NTSC, Thin Bezel, 65% sRGB",1920x1080,14 inch,,8GB,512GB SSD,IPS  ,"3 cell, 39Whr",,False,7530U,,1.4kg,319.9 x 223 x 19.35 mm,,,"Wi-Fi 6
Bluetooth v5.2",False,"Wi-Fi 6
Bluetooth v5.2",,,,Windows 11 Home,Windows 11 Home,2x 2W Speaker,543,"Laptop MSI Modern 14 C7M-220VN (R5-7530U/8GB/512GB/14"" FHD/Windows 11) - Chính hãng"
544,60Hz,"65% sRGB, 45% NTSC, viền mỏng, chống chói, góc mở 180 độ.",1920 x 1080,15.6 inch,,16GB,1TB SSD,  Multi-touch touchpad,39.3 Whr,90W,False,i7 - 13700H,,1.8kg,359 x 241 x 19.9 mm,,,"Wi-Fi 6E
Bluetooth v5.3",False,"Wi-Fi 6E
Bluetooth v5.3",,,,Windows 11 Home Single Language,Windows 11 Home Single Language,"2x 2W
Nahimic Audio
Hi-Res Audio",544,Laptop MSI Modern 15 H (C13M-216VN) ( i7-13700H/16GB/1TB/15.6 FHD IPS/Win11/Đen) - Chính hãng
545,120Hz,"100% DCI-P3, viền mỏng, chống chói, độ sáng 1000 nits",3840x2400,16 inch,,64GB,2TB SSD,  Multi-touch touchpad,"4 Cell, 99.9 Whr",240W adapter,False,U9 - 185H,,1.99 kg,355.8 x 259.7 x 19.95 mm,,,"Wi-Fi 7
Bluetooth v5.4",False,"Wi-Fi 7
Bluetooth v5.4",,,,Windows 11,Windows 11,"Nahimic™, Hi-Res™ Audio",545,"Laptop MSI Creator 16 AI Studio A1VIG (078VN) (Ultra 9-185H/64GB/2TB/RTX4090/16"" FHD 4K 120Hz/Balo/Win11) - Chính hãng"
546,144Hz,"IPS-Level, 45% NTSC, 65% sRGB",1920x1080,15.6 inch,,16GB,512GB SSD,  Multi-touch touchpad,"3 cell, 53.5 Wh",200W,False,R7 - 7735HS,Vỏ nhựa - nắp lưng bằng kim loại,2.25kg,359 x 259 x 24.9 mm,,,"Wi-Fi 6E
Bluetooth v5.3",False,"Wi-Fi 6E
Bluetooth v5.3",,Không,,Windows 11 Home,Windows 11 Home,"Hi-Res™ Audio, Nahimic™",546,"Laptop Gaming MSI Bravo 15 C7VFK-275VN (Ryzen 7 7735HS/16GB/512GB/RTX 4060/15.6"" FHD 144Hz/Windows 11/Ba lô) - Chính hãng"
547,60Hz,45% NTSC,1920x1080,15.6 inch,,16GB,512GB SSD,  Multi-touch touchpad,53.5 Wh,,False,U7 - 155H,,1.98kg,359.36 x 250.34 x 21.95-22.9 mm,,,"Wi-Fi 6E
Bluetooth v5.3",False,"Wi-Fi 6E
Bluetooth v5.3",,,,Windows 11 Home,Windows 11 Home,"2 loa 2W, Nahimic™, Hi-Res™ Audio",547,"Laptop MSI Cyborg 15 AI A1VE-053VN (Core Ultra 7 155H/16GB/512GB/RTX 4050/15.6"" FHD 144Hz/Windows 11) - Chính hãng"
548,144Hz,"Thin Bezel, 45%NTSC",1920x1080,15.6 inch,,8GB,512GB SSD,  Multi-touch touchpad,52.4 Wh,,False,i5 - 12450H,Mặt lưng và chiếu nghỉ tay kim loại,1.86kg,359 x 254 x 21.7 mm,,,"Wi-Fi 6
Bluetooth v5.2",False,"Wi-Fi 6
Bluetooth v5.2",,,,Windows 11 Home,Windows 11 Home,2 loa 2W,548,"Laptop Gaming MSI GF63 12UCX-841VN (i5-12450H/8GB/512GB/RTX 2050/15.6"" FHD 144Hz/Windows 11) - Chính hãng"
549,144Hz,"IPS-Level, 45% NTSC, 65% sRGB",1920x1080,15.6 inch,,8GB,512GB SSD,  Multi-touch touchpad,3 cell / 53.5 Whr,,False,i7 - 12650H,,1.98kg,359.36 x 250.34 x 21.95~22.9 mm,,,Bluetooth v5.2,False,Bluetooth v5.2,,,,"Windows 11 Home
(MSI khuyến nghị Windows 11 Pro cho doanh nghiệp)","Windows 11 Home
(MSI khuyến nghị Windows 11 Pro cho doanh nghiệp)",Nahimic Audio,549,"Laptop MSI Cyborg 15 A12VE-240VN (i7-12650H/8GB/512GB/RTX 4050/15.6"" FHD 144Hz/Windows 11/Ba lô) - Chính hãng"
550,144Hz,,1920x1080,15.6 inch,,16GB,512GB SSD,  Multi-touch touchpad,"3 cell, 53.5 Wh",180W,False,R5 - 7535HS,Vỏ nhựa,2.35kg,359 x 259 x 24.95 mm,,,"Wi-Fi 6E
Bluetooth v5.3",False,"Wi-Fi 6E
Bluetooth v5.3",,Không,,Windows 11 Home,Windows 11 Home,Hi-Res Audio,550,"Laptop Gaming MSI Bravo 15 B7ED-010VN (R5-7535HS/16GB/512GB/RX 6550M/15.6"" FHD 144Hz/Windows 11) - Chính hãng"
551,144Hz,"Wled-backlit
Tấm nền IPS
Chống chói Anti Glare",1920x1080,15.6 inch,,8GB,512GB SSD,  Multi-touch touchpad,52.4 Wh,,False,i7 - 11800H,Mặt lưng và chiếu nghỉ tay kim loại,1.86kg,359 x 254 x 21.7 mm,,,"Wifi 6
Bluetooth v5.2",False,"Wifi 6
Bluetooth v5.2",,,,Windows 11 Home,Windows 11 Home,Realtek High Definition Audio,551,"Laptop Gaming MSI GF63 Thin 11UC-1228VN (i7-11800H/8GB/512GB/15.6"" FHD/RTX3050/Windows 11) - Chính hãng"
552,60Hz,"IPS, 45% NTSC",1920x1080,14 inch,,8GB,512GB SSD,  Multi-touch touchpad,39WHrs Li-ion Battery,,False,i5 - 1335U,Nhựa,1.4kg,320 x 223 x 19.5 mm (Dài x Rộng x Dày),,,"Bluetooth v5.2
Wifi 6 AX201",False,"Bluetooth v5.2
Wifi 6 AX201",,,,Windows 11,Windows 11,2 loa x Jack Audio™ 3.5mm,552,"Laptop MSI Modern 14 C13M-458VN (i5-1335U/8GB/512GB/14"" FHD/Windows 11) - Chính hãng"
553,144Hz,"IPS-Level, 45% NTSC, 65% sRGB",1920x1080,15.6 inch,,8GB,512GB SSD,  Multi-touch touchpad,52.4Whr,,False,i7 - 13620H,Vỏ nhựa - nắp lưng bằng kim loại,1.86kg,359mm x 254mm x 21.7mm,,,"Wi-Fi 6E
Bluetooth v5.3",False,"Wi-Fi 6E
Bluetooth v5.3",,,,Windows 11 Home,Windows 11 Home,"Nahimic™, Hi-Res™ Audio",553,Laptop Gaming MSI Thin 15 (B13UC-1411VN) (I7-13620H/ 8GB/512GB/RTX 3050/15.6' FHD 144HZ/WIN 11/Xám/Ba lô) - Chính hãng
554,144Hz,"IPS-Level, 45% NTSC, 65% sRGB",1920x1080,15.6 inch,,8GB,512GB SSD,  Multi-touch touchpad,52.4Whr,,False,i5 - 12450H,Vỏ nhựa - nắp lưng bằng kim loại,1.86kg,359mm x 254mm x 21.7mm,,,"Wi-Fi 6
Bluetooth v5.3",False,"Wi-Fi 6
Bluetooth v5.3",,,,Windows 11 Home,Windows 11 Home,DTS:X Ultra,554,"Laptop Gaming MSI Thin 15 (B12UCX-1419VN) (I5-12450H/8GB/512GB/RTX 2050/15.6"" FHD 144HZ/WIN 11/Xám/Ba lô) - Chính hãng"
555,144Hz,45% NTSC,1920x1080,15.6 inch,,16GB,512GB SSD,  Multi-touch touchpad,52.4 Wh,,False,i5 - 12450H,Nhựa,1.98kg,359.36 x 250.34 x 21.95~22.9 mm,,,"Wi-Fi 6
Bluetooth v5.2",False,"Wi-Fi 6
Bluetooth v5.2",,,,Windows 11 Home,Windows 11 Home,2 loa 2W,555,"Laptop Gaming MSI Cyborg 15 A12UCX-618VN (i5-12450H/16GB/512GB/RTX 2050/15.6"" FHD 144Hz/Windows 11) - Chính hãng"
556,60Hz,IPS 45% NTSC,1920x1080,15.6 inch,,16GB,512GB SSD,  Multi-touch touchpad,39.3 Wh,,False,i5 - 1235U,Nhựa,1.7kg,359 x 241 x 19.9 mm (Dài x Rộng x Dày),,,"Wi-Fi 6
Bluetooth v5.2",False,"Wi-Fi 6
Bluetooth v5.2",,,,Windows 11,Windows 11,2 loa 2W,556,"Laptop MSI Modern 15 B12MO-628VN (i5-1235U/16GB/512GB/15.6"" FHD/Windows 11) - Chính hãng"
557,60Hz,"Tỉ lệ 16:9
Độ sáng tối đa 250nits
Độ phủ màu 45% NTSC
Màn hình chống chói
Công nghệ LCD",1920x1080,14 inch,,16GB,512GB SSD,  Multi-touch touchpad,42WHrs,,False,R5 - 7520U,Nhựa,1.38kg,32.45 x 21.39 x 1.79 ~ 1.79 cm,,,"Wi-Fi 6E
Bluetooth 5.3",False,"Wi-Fi 6E
Bluetooth 5.3",,Không,,Windows 11 Home,Windows 11 Home,"SonicMaster
Loa tích hợp
Micrô mảng tích hợp",557,"Laptop ASUS VivoBook Go 14 E1404FA-NK177W (R5-7520U/16GB/512GB/14"" FHD/Windows 11) - Chính hãng"
558,120Hz,,,14 inch,,32GB,1TB SSD,  Multi-touch touchpad,"75WHrs, 4S1P, 4-cell Li-ion",65W,False,U7 - 258V,,1.3kg,310.5 x 221.9 x 13.9mm,,,"Wi-Fi 7(802.11be) (Tri-band)2 x 2
Bluetooth 5.4 Wireless Card",False,"Wi-Fi 7(802.11be) (Tri-band)2 x 2
Bluetooth 5.4 Wireless Card",,,,Windows 11,Windows 11,"Công nghệ Smart AMP
Audio by Harman/Kardon",558,Laptop ASUS Vivobook S 14 OLED S5406SA-PP059WS (U7-258V/32GB/1TB/14 inch 3K OLED/Win 11+Office/Xanh) - Chính hãng
559,90Hz,"Tỉ lệ 16:10
Độ sáng 600 nit
1 tỉ màu
Độ phủ màu 100% DCI-P3
Độ tương phản 1,000,000:1
Thời gian phản hồi 0.2ms
Đạt chuẩn PANTONE Validated, VESA CERTIFIED True Black 600 HDR, SGS Eye Protector
Giảm 70% ánh sáng xanh",2880x1800,14 inch,,16GB,512GB SSD, Chiclet Keyboard ,50WHrs,,False,i5 - 13500H,Vỏ nhựa giả kim loại,1.60kg,31.71 x 22.20 x 1.99 ~ 1.99 cm,,,"Wi-Fi 6E
Bluetooth 5.3",False,"Wi-Fi 6E
Bluetooth 5.3",,,,Windows 11 Home,Windows 11 Home,Hệ thống âm thanh SonicMaster,559,"Laptop ASUS Vivobook 14 OLED A1405VA-KM095W (i5-13500H/16GB/512GB/14"" 2.8K OLED/Windows 11/Chuột) - Chính hãng"
560,60Hz,"Tỉ lệ 16:10, độ sáng 400nits, 100% sRGB, Màn hình chống chói",1920 x 1200,14 inch,,16GB,512GB SSD,  Multi-touch touchpad,42WHrs,"TYPE-C, 65W AC Adapter",False,U5 - 225H,,1.46 kg,315.2 x 223.4 x 17.9 mm,,,Wi-Fi 6(802.11ax) (Dual band) 1*1 + Bluetooth® 5.2 Wireless Card,False,Wi-Fi 6(802.11ax) (Dual band) 1*1 + Bluetooth® 5.2 Wireless Card,,,,Windows 11 Home,Windows 11 Home,"Âm thanh SonicMaster chất lượng cao
Loa tích hợp
Micrô mảng tích hợp",560,Laptop Asus Vivobook 14 A1407CA-LY008WS (Ultra 5 225H/16GB/512GB/Intel Arc/14 inch WUXGA IPS/Win 11/Office /Bạc) - Chính hãng
561,120Hz,,,14 inch,,16GB,512GB SSD,  Multi-touch touchpad,"75WHrs, 4S1P, 4-cell Li-ion",65W,False,U5 - 226V,,1.3kg,310.5 x 221.9 x 13.9mm,,,"Wi-Fi 7(802.11be) (Tri-band)2 x 2
Bluetooth 5.4 Wireless Card",False,"Wi-Fi 7(802.11be) (Tri-band)2 x 2
Bluetooth 5.4 Wireless Card",,,,Windows 11,Windows 11,"Công nghệ Smart Amp
Loa tích hợp
Micrô tích hợp
Micrô mảng tích hợp
Harman/Kardon",561,Laptop ASUS Vivobook S 14 OLED S5406SA-PP060WS (U5-226V/16GB/512GB/14 inch 3K OLED/Win 11+Office/Xanh) - Chính hãng
562,90Hz,"OLED 16:10 aspect ratio, 0.2ms response time, , 100% DCI-P3 color gamut, 600nits HDR peak brightness, VESA CERTIFIED Display HDR True Black 600, Glossy display",2880x1800,14 inch,,16GB,512GB SSD,  Multi-touch touchpad,"50WHrs, 3S1P, 3-cell Li-ion",,False,i5 - 13500H,Vỏ nhựa,1.6kg,31.71 x 22.20 x 1.99 ~ 1.99 cm,,,"Wi-Fi 6E
Bluetooth 5",False,"Wi-Fi 6E
Bluetooth 5",,,,Windows 11 Home,Windows 11 Home,"SonicMaster
Loa tích hợp
Micrô mảng tích hợp",562,"Máy tính xách tay Asus Vivobook A1405VA-KM257W (i5-13500H/16GB/512GB/Iris Xe/14"" OLED 2.8K/Win11/Black) - Chính hãng"
563,60Hz,"LED Backlit, Anti-glare display, NTSC: 45%, View angle 170, Screen-to-body ratio 87%",1920 x 1080,14.0 inch,,8GB,512GB SSD,  Multi-touch touchpad,50WHrs,,False,i5 - 13420H,Nhựa,1.41 kg,324.5 x 214.4 x 19.7 mm,,,"Wi-Fi 6 (802.11ax)
Bluetooth® 5.3 Wireless Card",False,"Wi-Fi 6 (802.11ax)
Bluetooth® 5.3 Wireless Card",,,,Windows 11 Home,Windows 11 Home,"Audio by Dirac
Built-in speaker
Built-in array microphone",563,Laptop ASUS ExpertBook P1 P1403CVA-i508-50W (i5-13420H/8GB/512GB/14.0inch FHD/Win11/Xám)- Chính hãng
564,120 Hz,"Thời gian phản hồi 0.2 ms
Màn hình bảo vệ mắt - EYE CARE
Chuẩn DisplayHDR True Black 600
Low Blue Light
LED Backlit
Màn hình OLED
400 nits
600 nits (Khi bật HDR)
1.07 tỷ màu",2.8K (2880 x 1800) - OLED 16:10,14 inch,,32 GB,512 GB SSD NVMe PCIe Gen 4.0, Đơn sắc - Màu trắng ,,,False,,Vỏ kim loại - Nhôm,,,,,Wi-Fi 6E (802.11ax),False,Wi-Fi 6E (802.11ax),,,,Windows 11 Home SL + Office Home & Student 2024 vĩnh viễn + Microsoft 365 Basic,Windows 11 Home SL + Office Home & Student 2024 vĩnh viễn + Microsoft 365 Basic,Công nghệ Smart AMP,564,Laptop ASUS Zenbook 14 (UM3406KA-PP555WS) (RYZEN AI 7 350/32GB/512GB/14.0_3K/OLED-120Hz/W11SL/TUI/OFFICE/ĐEN) - Chính hãng
565,60 Hz,"Thời gian phản hồi 0.2 ms
Màn hình bảo vệ mắt - EYE CARE
Chuẩn DisplayHDR True Black 600
Low Blue Light
LED Backlit
Màn hình OLED
400 nits
600 nits (Khi bật HDR)
1.07 tỷ màu",WUXGA (1920 x 1200) - OLED,14 inch,,16 GB,512 GB SSD NVMe PCIe, Đơn sắc - Màu trắng ,,,False,,Nhôm - Magie,,,,,Wi-Fi 6E (802.11ax),False,Wi-Fi 6E (802.11ax),,,,Windows 11 Home SL + Office Home & Student 2024 vĩnh viễn + Microsoft 365 Basic,Windows 11 Home SL + Office Home & Student 2024 vĩnh viễn + Microsoft 365 Basic,Công nghệ Smart AMP,565,Laptop ASUS Zenbook A14 (UX3407QA-QD299WS) (X1-26-100/16GD5X/512GB/14.0_WUXGA/OLED/WiFi6E/BT5/3C70WHrs/W11SL/TÚI/BE) - Chính hãng
566,60Hz,"Độ sáng 300nits
Độ phủ màu 45% NTSC
TÜV Rheinland-certified",1920x1200,14 inch,,16GB,512GB SSD,  Multi-touch touchpad,"50WHrs, 3S1P, 3-cell Li-ion",,False,i9 - 13900H,Vỏ kim loại,1.50kg,31.32 x 22.76 x 1.89 ~ 1.89 cm (W x H x D),,,"Wi-Fi 6E
Bluetooth 5",False,"Wi-Fi 6E
Bluetooth 5",,Có,,Windows 11 Home,Windows 11 Home,"Công nghệ khuếch đại thông minh
Loa tích hợp
Micrô mảng tích hợp
Harman/kardon (Mainstream)",566,"Laptop ASUS Vivobook S 14 Flip TP3402VA-LZ118W (i9-13900H/16GB/512GB/14"" IPS Cảm ứng/Windows 11) - Chính hãng"
567,144Hz,"Tỷ lệ 16:10, IPS-level Panel, 300nits, 45% NTSC color gamut, Anti-glare display, TÜV Rheinland-certified",1920x1200,16 inch,,16GB,512GB SSD,  Multi-touch touchpad,4 Cells 75WHrs,,False,i5 - 12500H,"LCD cover (Aluminum), Top case (Plastic)",1.80 kg,358.6 x 249.1 x 18.9 mm,,,"Wi-Fi 6E
Bluetooth 5.3",False,"Wi-Fi 6E
Bluetooth 5.3",,,,Windows 11 Home,Windows 11 Home,SonicMaster,567,"Laptop Asus Gaming Vivobook 16X K3605ZU-RP296W (i5-12500H/16GB/512GB/RTX4050/16"" WUXGA/Win11/Đen) - Chính hãng"
568,144Hz,"Tỷ lệ 16:9
Độ sáng 250 nits
Độ tương phản 1000:1
Độ phủ màu 45% NTSC
Độ phủ màu 62.5% sRGB
Adobe 47.34%
Màn hình chống chói
Adaptive-Sync",1920 x 1080,15.6 inch,,16GB,512GB SSD, Bàn phím Chiclet 1 vùng đèn nền RGB ,"48WHrs, 3S1P, 3-cell Li-ion",150W,False,7435HS,,2.30 kg,359 x 256 x 22.8 mm,,,"Wi-Fi 6
Bluetooth v5.3",False,"Wi-Fi 6
Bluetooth v5.3",,Không,,Windows 11 Home,Windows 11 Home,"Công nghệ chống ồn AI
Phần mềm DTS
Chứng nhận Hi-Res (dành cho tai nghe)",568,Laptop ASUS TUF Gaming A15 FA506NFR-HN075W (R7 7435HS/RTX 2050/16GB/512GB/15.6 inch FHD 144Hz/Win 11/Đen) - Chính hãng
569,144Hz,"Độ sáng 250nits
Độ phủ màu NTSC 72%, SRGB 100%, Adobe 75.35%
Màn hình chống chói
G-Sync",1920 x 1080,15.6 inch,,16GB,512GB SSD, Bàn phím Chiclet 1 vùng đèn nền RGB ,"90WHrs, 4S1P, 4-cell Li-ion",240W,False,7435HS,,2.20 kg,354 x 251 x 22.4 mm,,,"Wi-Fi 6
Bluetooth v5.3",False,"Wi-Fi 6
Bluetooth v5.3",,Không,,Windows 11 Home,Windows 11 Home,"AI mic khử tiếng ồn
Âm thanh của Dolby Atmos
Hỗ trợ Microsoft Cortana tầm gần/Tầm xa",569,"Laptop Asus TUF Gaming A15 FA507NUR-LP101W (R7-7435HS/RTX4050 /16GB/512GB/15.6""FHD 144Hz/Win11/Đen) - Chính hãng"
570,90Hz,"Tỷ lệ khung hình 16:10
Thời gian đáp ứng 0.2 ms
Tần số làm mới 90Hz, 400nits
Độ sáng tối đa 600 nit HDR
Dải màu DCI-P3 100%
1.000.000:1
Màn hình HDR True Black 600 đạt CHỨNG NHẬN VESA
1,07 tỉ màu sắc
Đạt chuẩn PANTONE Validated
Màn hình gương
Giảm 70% ánh sáng xanh có hại, Được chứng nhận bởi TÜV Rheinland, Màn hình bảo vệ mắt SGS
Không có tính năng cảm ứng
Tỷ lệ màn hình trên thân máy 85%",2880x1800,14 inch,,16GB,512GB SSD," Backlight Keyboard (Single-Color, White) ",63WHrs,,False,i5 - 12500H,Vỏ kim loại,1.4kg,317 x 222 x 18.9 mm,,,"Wi-Fi 6E 802.11ax
Bluetooth v5.0",False,"Wi-Fi 6E 802.11ax
Bluetooth v5.0",,,,Windows 11 Home,Windows 11 Home,"SonicMaster
Loa tích hợp
Micrô array tích hợp",570,"Laptop ASUS Vivobook 14X OLED K3405ZF-KM184W (i5-12500H/16GB/512GB/RTX 2050/14"" 2.8K OLED 90Hz/Windows 11) - Chính hãng"
571,144Hz,"Độ sáng: 250 nits
Độ phủ màu: 45% NTSC
Tỷ lệ màn hình: 16:09
Độ tương phản: 1000:1",1920x1080,15.6 inch,,16GB,512GB SSD,  Multi-touch touchpad,48 Wh,150 W,False,R7 - 7435HS,Nhựa,2.3 kg,359 x 256 x 22.8 ~ 24.5 mm,,,"Wifi 6
Bluetooth: v5.3",False,"Wifi 6
Bluetooth: v5.3",,Không,,Windows 11 Home,Windows 11 Home,"DTS Software
AI noise-canceling technology
Hi-Res certification
Built-in 3-microphone array
2-speaker system",571,"Laptop Asus TUF Gaming FA506NFR-HN006W (R7 7435HS/16GB/512GB/RTX205015.6"" FHD/Win11/Đen) - Chính hãng"
